level,method,point,state_error_percent,coefficient_error_percent,q_source
baseline,poddl,offgrid2,1.3537627356546313,2.986954720607206,euclidean_hprom_main/Runs/PODDL_ROM/pod_dl_data_driven_mu1_5.190_mu2_0.0260_ntot151_nz10/qN.npy
baseline,poddl,extrapolation20pct,2.2890890658560066,5.16503077218772,euclidean_hprom_main/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.000_mu2_0.0330_ntot151_nz10/qN.npy
lhs8,linear,verification,0.4103876436595169,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
lhs8,linear,offgrid1,0.449823818711427,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
lhs8,linear,offgrid2,0.4632381358945413,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
lhs8,linear,extrapolation20pct,0.849888467909238,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.000_mu2_0.0330_ntot151/qN.npy
lhs8,case1,verification,0.41183731648924293,0.1142653764240727,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs8,case1,offgrid1,0.4644976671219976,0.27249390515783156,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs8,case1,offgrid2,0.47871900429513664,0.34784047513912797,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs8,case1,extrapolation20pct,1.1003701736638956,1.4553795871628483,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs8,case2,verification,0.5432813672066092,1.0191246006599781,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs8,case2,offgrid1,0.7454098453209596,1.5017079899918955,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs8,case2,offgrid2,0.8697113026118484,1.7804646103998376,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs8,case2,extrapolation20pct,3.621005380672513,8.277716173322485,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs8,b3,verification,0.40948651153295745,0.03752533717741644,euclidean_hprom_enrichment_lhs8/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p0_steps500/qN.npy
lhs8,b3,offgrid1,0.4491835223594651,0.07371987004305809,euclidean_hprom_enrichment_lhs8/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p1_steps500/qN.npy
lhs8,b3,offgrid2,0.4634841694511361,0.07638413048608728,euclidean_hprom_enrichment_lhs8/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p2_steps500/qN.npy
lhs8,b3,extrapolation20pct,0.871061901763254,0.4430166293628907,euclidean_hprom_enrichment_lhs8/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p3_steps500/qN.npy
lhs8,case3,verification,0.4077140149403049,0.07937617740111408,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs8,case3,offgrid1,0.4493225809633984,0.16882240799944226,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs8,case3,offgrid2,0.4661612771421929,0.17756608865244017,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs8,case3,extrapolation20pct,1.0527640849097375,1.2574493954682688,euclidean_hprom_enrichment_lhs8/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs8,podae,verification,0.4163205467588329,0.3667512728557314,euclidean_hprom_enrichment_lhs8/Runs/HPROM_POD_AE/podae_hprom_mu1_4.875_mu2_0.0225_ntot151_nz10_qN.npy
lhs8,podae,offgrid1,0.45931000212971135,0.41687641184300844,euclidean_hprom_enrichment_lhs8/Runs/HPROM_POD_AE/podae_hprom_mu1_4.560_mu2_0.0190_ntot151_nz10_qN.npy
lhs8,podae,offgrid2,0.489832749203666,0.4839509089679392,euclidean_hprom_enrichment_lhs8/Runs/HPROM_POD_AE/podae_hprom_mu1_5.190_mu2_0.0260_ntot151_nz10_qN.npy
lhs8,podae,extrapolation20pct,1.008030485903951,1.3940534238060676,euclidean_hprom_enrichment_lhs8/Runs/HPROM_POD_AE/podae_hprom_mu1_4.000_mu2_0.0330_ntot151_nz10_qN.npy
