mu1,mu2,model_label,model_file,n_tot,n_p,n_s,nt,rel_frob_percent,mean_coeff_rel_percent,median_coeff_rel_percent,p95_coeff_rel_percent,max_coeff_rel_percent,linear_qN_path
4.56,0.019,ANN ns151,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,151,0,151,501,3.8420466287818225,49.20041805524339,49.25382510519993,101.06816582679392,118.74180509367916,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
4.56,0.019,GPR ns151,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,151,0,151,501,100.65601426001206,100.09303469683991,100.00245209477002,100.5310122055353,103.486421178047,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
4.875,0.0225,ANN ns151,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,151,0,151,501,1.7908857863114327,30.688424885330207,20.701738122938483,79.29737481050944,87.4802785753468,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.875,0.0225,GPR ns151,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,151,0,151,501,1.860065640005717e-05,0.00028744316722370696,0.00019203362650498036,0.0010160088393138802,0.0013575993758602855,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
5.19,0.026,ANN ns151,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,151,0,151,501,5.473738835527982,53.54697435491974,55.581127154734155,105.78024435184031,138.9577462096301,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
5.19,0.026,GPR ns151,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,151,0,151,501,99.74392483111977,99.97642863189152,99.99885572355987,100.05528946469636,100.53926684138605,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
