point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_prom,primary_q_error_percent_vs_linear_prom,total_q_error_percent_vs_linear_prom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s
extrapolation20pct,4.0,0.033,10,151,0.0,0.0,21.425496354735657,0.8498909886844643,0.00011269811302705478,0.000269245454665844,0.00026456348677354047,501,66.15183281898499,1500,27.514005422592163,3.77016282081604,27.075831651687622
extrapolation20pct,4.0,0.033,10,151,100.0,99.99999999999997,21.425496354735657,9.784586528771404,9.821900779648725,13.912309658726723,23.057318771466722,501,67.20723390579224,1494,26.614535570144653,3.5700106620788574,26.386812210083008
extrapolation20pct,4.0,0.033,10,151,10.0,10.0,21.425496354735657,1.1677118524765884,0.8833349966546109,0.939639893085919,2.073665480520794,501,74.90672898292542,1500,29.10777521133423,3.717643976211548,28.520319938659668
extrapolation20pct,4.0,0.033,10,151,15.0,15.0,21.425496354735657,1.5033920271844936,1.3212638706318132,1.3892833406075082,3.1017216453157057,501,65.1245105266571,1500,26.763225555419922,3.660513401031494,26.327643632888794
extrapolation20pct,4.0,0.033,10,151,1.0,0.9999999999999999,21.425496354735657,0.8463198716039437,0.08907087559298099,0.09785642924270543,0.20909756857414175,501,70.62889981269836,1500,28.125683069229126,3.7713608741760254,28.007397890090942
extrapolation20pct,4.0,0.033,10,151,20.0,20.0,21.425496354735657,1.8816978020148474,1.7591898984329162,1.8387925817608841,4.1297711285943715,501,65.76874017715454,1500,26.46983242034912,3.55761456489563,25.76515483856201
extrapolation20pct,4.0,0.033,10,151,21.425496354736,21.425496354735998,21.425496354735657,1.9942886711506524,1.8843008773107919,1.9683502648762867,4.423474331926939,501,65.67132139205933,1500,26.570250034332275,3.6125221252441406,26.07538652420044
extrapolation20pct,4.0,0.033,10,151,30.0,29.999999999999993,21.425496354735657,2.7003849340058634,2.6423471352980115,2.777586162045635,6.2030193106488625,501,68.69739031791687,1500,27.166717290878296,3.656707525253296,26.845035314559937
extrapolation20pct,4.0,0.033,10,151,3.0,2.9999999999999987,21.425496354735657,0.8668940106997227,0.2666571673214555,0.29067221912632873,0.6259887416463021,501,71.48673462867737,1500,28.291664600372314,3.7351529598236084,28.401562690734863
extrapolation20pct,4.0,0.033,10,151,50.0,49.999999999999986,21.425496354735657,4.487184318024994,4.483000114142586,5.0440254236019895,10.52402839361649,501,69.60344219207764,1499,27.245816469192505,3.6690125465393066,27.222752571105957
extrapolation20pct,4.0,0.033,10,151,5.0,5.0,21.425496354735657,0.9215570416748793,0.44352619836571683,0.4797100853581915,1.0411961155629657,501,72.3478000164032,1500,28.438220262527466,3.72924542427063,28.496245622634888
extrapolation20pct,4.0,0.033,10,151,75.0,74.99999999999997,21.425496354735657,6.988731648256706,7.011720838687273,8.931057860795631,16.46030500014177,501,69.35890603065491,1497,27.184587478637695,3.6410977840423584,27.055357694625854
offgrid1,4.56,0.019,10,151,0.0,0.0,14.522856759920916,0.4498168376542458,0.00023702155595464408,0.0005585969572221893,0.0005456598258686484,501,74.56354117393494,1500,29.2391939163208,3.7560982704162598,29.89244556427002
offgrid1,4.56,0.019,10,151,100.0,99.99999999999997,14.522856759920916,11.666405222828914,11.69567346287906,16.73164185025596,26.92522677723122,501,74.85501766204834,1479,29.078445434570312,3.7177751064300537,28.74962329864502
offgrid1,4.56,0.019,10,151,10.0,10.000000000000002,14.522856759920916,1.064169578650059,1.0083720386176553,0.9217080199961916,2.3214264575505545,501,73.62380886077881,1500,29.21538805961609,3.7572875022888184,28.446892261505127
offgrid1,4.56,0.019,10,151,14.522856759921,14.522856759921002,14.522856759920916,1.4875532835372114,1.4616821443469181,1.3217089585690238,3.3650155621805755,501,73.36840867996216,1500,28.650384426116943,3.769679546356201,28.564948558807373
offgrid1,4.56,0.019,10,151,15.0,15.0,14.522856759920916,1.5331620543503401,1.5094516550524606,1.3635751833045133,3.4749882724196572,501,75.20946669578552,1500,29.77977156639099,3.7977983951568604,29.168133020401
offgrid1,4.56,0.019,10,151,1.0,1.0,14.522856759920916,0.4515915819844939,0.10130267665856887,0.09496343902296735,0.23321423523233833,501,74.86333179473877,1500,29.403948307037354,3.8106443881988525,29.196160316467285
offgrid1,4.56,0.019,10,151,20.0,20.000000000000004,14.522856759920916,2.0169490964806234,2.009883730719307,1.8013198373904165,4.627059349531743,501,75.13902878761292,1500,29.31036067008972,3.8826568126678467,29.3259117603302
offgrid1,4.56,0.019,10,151,30.0,30.0,14.522856759920916,3.004848037560227,3.01476594986531,2.7016100898048503,6.940451709603082,501,70.88786125183105,1500,27.872310400009155,3.611668586730957,27.64391565322876
offgrid1,4.56,0.019,10,151,3.0,2.9999999999999996,14.522856759920916,0.5182162409462687,0.3036456302505204,0.2833320167491271,0.6990386214491656,501,75.56328392028809,1500,29.27353858947754,3.8003787994384766,29.47320580482483
offgrid1,4.56,0.019,10,151,50.0,49.99999999999999,14.522856759920916,5.076068021547643,5.099621188083065,4.948958678674545,11.740106920983532,501,78.00290560722351,1500,29.828115463256836,3.8532755374908447,29.57595944404602
offgrid1,4.56,0.019,10,151,5.0,5.0,14.522856759920916,0.6438573223266819,0.5055044400884281,0.46880715761005365,1.1637484347932285,501,72.46061444282532,1500,28.281039476394653,3.73437237739563,28.20350217819214
