label,val_rel_frob_percent,train_rel_frob_percent,best_val_mse,epochs_ran,hidden_dims,activation,batch_size,lr,trainable_parameters,candidate_model
C02_wide_silu,0.5368914920836687,0.45444308780133724,0.0015586763620376587,6000,"(256, 512, 512, 256)",silu,128,0.0005,565389,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case3_ann_ntot151_C02_wide_silu.pt
C03_wide_elu,1.0460807010531425,0.8408838883042336,0.005917165894061327,4153,"(256, 512, 512, 256)",elu,128,0.0005,565389,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case3_ann_ntot151_C03_wide_elu.pt
C00_legacy_elu,1.4390377327799797,1.2251108884811401,0.011197663843631744,5000,"(32, 64, 128, 256, 256)",elu,128,0.001,145933,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case3_ann_ntot151_C00_legacy_elu.pt
C01_medium_silu,5.967810750007629,5.768035724759102,0.1925809383392334,6000,"(128, 256, 256, 128)",silu,128,0.0005,151693,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case3_ann_ntot151_C01_medium_silu.pt
