label,val_rel_frob_percent,train_rel_frob_percent,best_val_mse,best_val_total,epochs_ran,primary_modes,secondary_modes,latent_dim,hidden_dims,encoder_hidden_dims,decoder_hidden_dims,dynamics_hidden_dims,activation,scaling,x_scaling,q_scaling,batch_size,lr,weight_decay,dropout,trainable_parameters
B01_A10_like_b128_lr5e4,1.291669625788927,1.1455327272415161,0.002971663372591138,,6000,20,131,,"(256, 512, 512, 256)",,,,silu,,,,128,0.0005,1e-06,0.0,560259
B02_A10_elu_b128_lr5e4,2.8913740068674088,2.606983296573162,0.014890355058014393,,6000,20,131,,"(256, 512, 512, 256)",,,,elu,,,,128,0.0005,1e-06,0.0,560259
B00_current_b128_lr1e3,3.329363465309143,3.130394220352173,0.019743256270885468,,5000,20,131,,"(32, 64, 128, 256, 256)",,,,elu,,,,128,0.001,1e-06,0.0,143043
B04_deep_silu_b128_lr5e4,9.137081354856491,9.155435860157013,0.1487007737159729,,6000,20,131,,"(128, 256, 512, 512, 256, 128)",,,,silu,,,,128,0.0005,1e-06,0.0,608899
B03_medium_silu_b128_lr1e3,10.519232600927353,10.540765523910522,0.19709047675132751,,5000,20,131,,"(128, 256, 256, 128)",,,,silu,,,,128,0.001,1e-06,0.0,149123
