point_key,point_tex,mu1,mu2,method_key,method,linear_prom_error_vs_hdm_pct,linear_prom_online_time_s,state_vs_hdm_pct,state_vs_linear_pct,q_low_vs_linear_pct,q_high_vs_linear_pct,q_total_vs_linear_pct,online_time_s
mu_v,$\mu^{(v)}$,4.875,0.0225,case2_ann,Case 2 ANN PROM,0.4130993207689208,1467.4538340568542,0.5506970653480892,0.3527874658281664,0.7414849395445972,1.9628448242791008,0.8357016976039043,155.02979564666748
mu_v,$\mu^{(v)}$,4.875,0.0225,case2_oracle,Case 2 oracle PROM,0.4130993207689208,1467.4538340568542,0.4130683275974209,0.0004289518372544144,0.0010230597571955593,6.745720392894492e-13,0.0009997816255878636,67.2178008556366
mu_v,$\mu^{(v)}$,4.875,0.0225,case2_pg_oracle,Case 2 PG-oracle PROM,0.4130993207689208,1467.4538340568542,0.4130795288958702,0.00029886481571331545,0.0007128075596660845,6.768567289312342e-13,0.0006965887336706683,349.3849174976349
mu_1,$\mu^{(1)}$,4.56,0.019,case2_ann,Case 2 ANN PROM,0.45961726559531546,1237.246337890625,1.2348953077603126,1.1675035984800994,1.5597042770198102,10.67493891789553,2.7661853544561352,156.24338006973267
mu_1,$\mu^{(1)}$,4.56,0.019,case2_oracle,Case 2 oracle PROM,0.45961726559531546,1237.246337890625,0.4596003129200206,0.0003267235076911459,0.0007707388292252647,6.633235347346355e-13,0.0007524878262585161,69.30349683761597
mu_1,$\mu^{(1)}$,4.56,0.019,case2_pg_oracle,Case 2 PG-oracle PROM,0.45961726559531546,1237.246337890625,0.45960496977624554,0.0002377217453491157,0.0005607865430100946,6.593740646299157e-13,0.0005475071849810228,342.9923002719879
mu_2,$\mu^{(2)}$,5.19,0.026,case2_ann,Case 2 ANN PROM,0.4717493148541442,1206.886132478714,1.2648145343853536,1.1723935536078636,0.6808551612224605,12.84788476546088,2.7305869752631167,157.23531985282898
mu_2,$\mu^{(2)}$,5.19,0.026,case2_oracle,Case 2 oracle PROM,0.4717493148541442,1206.886132478714,0.4717105568058734,0.0005585244274665042,0.0013009762008865968,6.946109336469611e-13,0.0012730430419120502,67.8458981513977
mu_2,$\mu^{(2)}$,5.19,0.026,case2_pg_oracle,Case 2 PG-oracle PROM,0.4717493148541442,1206.886132478714,0.471726635705005,0.0003739463325679873,0.0008710522453711237,6.925851747337594e-13,0.0008523499502572652,343.27694439888
mu_3,$\mu^{(3)}$,4.0,0.033,case2_ann,Case 2 ANN PROM,0.8675197737761431,1244.32896566391,3.868414099765242,3.763271627278953,3.7596143061000555,44.28181007196295,9.083896027317302,44.048182249069214
mu_3,$\mu^{(3)}$,4.0,0.033,case2_oracle,Case 2 oracle PROM,0.8675197737761431,1244.32896566391,0.8675220110066943,0.00013452865300026407,0.0003214022891434044,7.995893107709821e-13,0.00031570694525380374,68.28080344200134
mu_3,$\mu^{(3)}$,4.0,0.033,case2_pg_oracle,Case 2 PG-oracle PROM,0.8675197737761431,1244.32896566391,0.8675215598714502,0.00010710342124077027,0.00025588171023260326,8.00059280890947e-13,0.00025134741043431025,275.66304564476013
