point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_hprom,primary_q_error_percent_vs_linear_hprom,total_q_error_percent_vs_linear_hprom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s
extrapolation20pct,4.0,0.033,10,151,0.0,0.0,38.79859939106014,1.076919025224633,0.6372232759025933,1.5222601169573002,1.4952853031011293,501,3.1956443786621094,1500,1.0977771282196045,0.3378884792327881,0.2224738597869873
extrapolation20pct,4.0,0.033,10,151,10.0,9.999999999999998,38.79859939106014,3.0050855214089682,2.8988168757597097,6.666787312313632,6.811568632512807,501,3.124702215194702,1500,1.0880441665649414,0.32944679260253906,0.2161555290222168
extrapolation20pct,4.0,0.033,10,151,15.0,14.999999999999996,38.79859939106014,4.711743641381082,4.654826397065809,10.758969952465119,10.935849789750705,501,3.0927319526672363,1500,1.0888488292694092,0.3309042453765869,0.2202622890472412
extrapolation20pct,4.0,0.033,10,151,1.0,0.9999999999999997,38.79859939106014,0.934727045950446,0.35864019246951334,0.8361742391591893,0.8424688985988421,501,3.0938854217529297,1500,1.0994625091552734,0.3336803913116455,0.2181262969970703
extrapolation20pct,4.0,0.033,10,151,20.0,19.999999999999996,38.79859939106014,6.458604771667534,6.425963266765304,14.88667183656934,15.095665086645829,501,3.1532437801361084,1500,1.0908129215240479,0.33134889602661133,0.21883392333984375
extrapolation20pct,4.0,0.033,10,151,30.0,29.999999999999993,38.79859939106014,9.992526683874454,9.98507836222418,23.181703258499283,23.4548188660082,501,3.1712913513183594,1500,1.094895839691162,0.3325204849243164,0.22344613075256348
extrapolation20pct,4.0,0.033,10,151,38.79859939106,38.79859939106,38.79859939106014,13.09776325101318,13.102750835889923,30.44530556198429,30.77717170289027,501,3.170384168624878,1500,1.1017601490020752,0.33562159538269043,0.22200942039489746
extrapolation20pct,4.0,0.033,10,151,3.0,2.9999999999999987,38.79859939106014,1.001554322903762,0.5272637170877545,1.1274923036292215,1.242064010504918,501,3.1208863258361816,1500,1.0826282501220703,0.32694077491760254,0.2133922576904297
extrapolation20pct,4.0,0.033,10,151,50.0,50.0,38.79859939106014,16.9844288249714,16.99978657317634,39.51510541157654,39.93008555535061,501,3.192202568054199,1500,1.098656177520752,0.33509206771850586,0.22289657592773438
extrapolation20pct,4.0,0.033,10,151,5.0,4.999999999999999,38.79859939106014,1.4428732928799415,1.1748975498141212,2.645917315704156,2.7628109025163767,501,3.06764817237854,1500,1.0849575996398926,0.326610803604126,0.2163240909576416
