tag,zeta_qua,alpha_ridge,min_n_qm,max_n_qm,avg_n_qm,err_4.56_0.019,err_4.75_0.020,err_5.19_0.026,max_err_percent,status,note
z0.2_a1e-04,0.2,0.0001,11,15,13.0,4.177088809990832,3.4448349620898844,1.804705916957607,4.177088809990832,ok,q_norm=off
z0.2_a1e00,0.2,1.0,11,15,13.0,4.218459464719968,3.473360622368703,1.7231824395756576,4.218459464719968,ok,q_norm=off
z0.2_a1e04,0.2,10000.0,11,15,13.0,5.746077567988637,4.079761491458236,2.383211291684088,5.746077567988637,ok,q_norm=off
z0.5_a1e-04,0.5,0.0001,14,18,16.0,2.7124362495470833,2.1259427817081944,3.7083755072924776,3.7083755072924776,ok,q_norm=off
z0.5_a1e00,0.5,1.0,14,18,16.0,2.4217871161610907,2.1402303154378908,2.481919905711977,2.481919905711977,ok,q_norm=off
z0.5_a1e04,0.5,10000.0,14,18,16.0,3.3357935767258025,2.8751539573897142,1.5497451109063514,3.3357935767258025,ok,q_norm=off
z0.8_a1e-04,0.8,0.0001,17,22,19.666666666666668,365.83033889661124,54.11797470574707,55.80335174300717,365.83033889661124,ok,q_norm=off
z0.8_a1e00,0.8,1.0,17,22,19.666666666666668,2.9149080348269027,1.7097025770452494,5.225069643576536,5.225069643576536,ok,q_norm=off
z0.8_a1e04,0.8,10000.0,17,22,19.666666666666668,2.0829328846824655,1.814186256269158,1.0455081760492235,2.0829328846824655,ok,q_norm=off
z1_a1e-04,1.0,0.0001,19,25,22.0,52.52751441602172,2229.4365671588844,55.3517556526023,2229.4365671588844,ok,q_norm=off
z1_a1e00,1.0,1.0,19,25,22.0,3.4744125579226246,1.6583748271504237,5.299576205838154,5.299576205838154,ok,q_norm=off
z1_a1e04,1.0,10000.0,19,25,22.0,1.5162773022487606,1.3541033411081749,0.8562332345013397,1.5162773022487606,ok,q_norm=off
z1.2_a1e-04,1.2,0.0001,21,27,24.0,3519.840328115744,381.51782622503947,55.597282271683,3519.840328115744,ok,q_norm=off
z1.2_a1e00,1.2,1.0,21,27,24.0,3.5983483891614996,1.5648110253518648,5.403188975616511,5.403188975616511,ok,q_norm=off
z1.2_a1e04,1.2,10000.0,21,27,24.0,1.2256029619411324,1.0866469613848264,0.7978679356940556,1.2256029619411324,ok,q_norm=off
z1.5_a1e-04,1.5,0.0001,23,31,27.0,51.00175864842045,52.62753998432016,373.36653974109623,373.36653974109623,ok,q_norm=off
z1.5_a1e00,1.5,1.0,23,31,27.0,2.8637670355094356,1.4417581244045494,3.6316014420344698,3.6316014420344698,ok,q_norm=off
z1.5_a1e04,1.5,10000.0,23,31,27.0,0.8440525767229513,0.6983548192560848,0.6065556443071276,0.8440525767229513,ok,q_norm=off
z2_a1e-04,2.0,0.0001,28,37,32.666666666666664,50.75772663575204,2132058.614336625,62.18379075575535,2132058.614336625,ok,q_norm=off
z2_a1e00,2.0,1.0,28,37,32.666666666666664,1.8723160777641774,1.034569610510322,3.2682387134948074,3.2682387134948074,ok,q_norm=off
z2_a1e04,2.0,10000.0,28,37,32.666666666666664,0.33553499282882776,0.28520694386555934,0.5398835881719456,0.5398835881719456,ok,q_norm=off
z3_a1e-04,3.0,0.0001,38,50,44.0,50.81819926408993,52.14494119042157,678.0495016260539,678.0495016260539,ok,q_norm=off
z3_a1e00,3.0,1.0,38,50,44.0,1.1765719868965396,0.7332673420839252,2.170206861354832,2.170206861354832,ok,q_norm=off
z3_a1e04,3.0,10000.0,38,50,44.0,0.21819579591240557,0.13645982463742384,0.43459389397298354,0.43459389397298354,ok,q_norm=off
