point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_prom,primary_q_error_percent_vs_linear_prom,total_q_error_percent_vs_linear_prom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s
extrapolation20pct,4.0,0.033,10,151,0.0,0.0,19.965853175231473,0.8675220110066945,0.00013452865300026405,0.0003214022891417951,0.0003157069452522229,501,148.38836646080017,1500,53.33185148239136,5.724408388137817,55.10934853553772
extrapolation20pct,4.0,0.033,10,151,100.0,100.00000000000003,19.965853175231473,8.392588913317239,8.424201162120443,8.095500806894485,20.359294694152844,501,147.66909003257751,1491,52.94547247886658,5.54456353187561,55.250455141067505
extrapolation20pct,4.0,0.033,10,151,10.0,10.000000000000005,19.965853175231473,1.2076712028731924,0.9172902208577096,1.1863242543048138,2.206940808092665,501,152.33025765419006,1500,55.200400829315186,5.672520875930786,56.488579750061035
extrapolation20pct,4.0,0.033,10,151,15.0,15.000000000000002,19.965853175231473,1.5403709046872558,1.3503098678459082,1.66371914654543,3.2518016285537867,501,152.76510858535767,1500,55.065200328826904,5.75866436958313,57.097312211990356
extrapolation20pct,4.0,0.033,10,151,19.965853175231,19.965853175231,19.965853175231473,1.8978054902418413,1.766098829141411,2.0661164273513193,4.256945341581715,501,149.67869687080383,1500,54.27366924285889,5.598574161529541,55.31061577796936
extrapolation20pct,4.0,0.033,10,151,1.0,1.0000000000000002,19.965853175231473,0.8649252820075854,0.09504587494864196,0.13269615969220336,0.2282900275209056,501,147.43204283714294,1500,53.318167209625244,5.681212425231934,54.11403775215149
extrapolation20pct,4.0,0.033,10,151,20.0,20.00000000000001,19.965853175231473,1.9003048435990149,1.768913802869629,2.068647460515658,4.2637564134311665,501,142.9565987586975,1500,51.56086230278015,5.3961803913116455,52.379027366638184
extrapolation20pct,4.0,0.033,10,151,30.0,30.000000000000004,19.965853175231473,2.6392032943501453,2.572226986029451,2.6849435274018147,6.210444653726913,501,146.12657833099365,1500,53.22168040275574,5.568284034729004,52.983920097351074
extrapolation20pct,4.0,0.033,10,151,3.0,3.0000000000000004,19.965853175231473,0.8899540357954877,0.28293045128047745,0.388999853653361,0.679812296719796,501,147.8264660835266,1500,53.92672562599182,5.780305624008179,53.720420122146606
extrapolation20pct,4.0,0.033,10,151,50.0,50.000000000000014,19.965853175231473,4.126264994730556,4.115249629172248,3.433264083016692,9.959403360079268,501,149.2327675819397,1498,54.24833679199219,5.7137675285339355,55.02185845375061
