label,coeff_index_1based,linear_coeff_l2,energy_share_percent,case1_rel_percent,dd_case2_rel_percent,case3_rel_percent,pod_ae_rel_percent,pod_dl_rel_percent,case1_abs_l2,dd_case2_abs_l2,case3_abs_l2,pod_ae_abs_l2,pod_dl_abs_l2
offgrid1,1,6220.275223378557,60.5978223348569,0.0,0.7301736544727727,0.0,4.109029183217096,2.8894864272276215,0.0,45.41881091680764,0.0,255.59292420504732,179.73400831572602
offgrid1,2,2827.7296572368955,12.523150187092256,0.0,2.3184625000221444,0.0,1.9712774693864648,1.5307095764907532,0.0,65.55985170504213,0.0,55.74239762827003,43.28432866059431
offgrid1,3,2199.3091802541544,7.575484075493177,0.0,2.01291402632839,0.0,3.7603354925421377,3.528541831804073,0.0,44.270202971663814,0.0,82.70140369583451,77.60354443597508
offgrid1,4,1576.1073620193088,3.8905357535755094,0.0,5.930708825423603,0.0,2.6652761266692573,1.996399438219883,0.0,93.47433841743027,0.0,42.00761325057724,31.4653985210957
offgrid1,5,1423.2547749113742,3.1725108388784706,0.0,5.482181276479068,0.0,5.917092026129514,3.8092376666079644,0.0,78.02540678678565,0.0,84.21529479778849,54.21515697772046
offgrid1,6,1132.7644652220667,2.0096343669400394,0.0,6.55213684804817,0.0,5.551796024737094,2.089898668313148,0.0,74.22027792741083,0.0,62.88877254983311,23.673629473800528
offgrid1,7,1101.9347542266196,1.9017331491100025,0.0,2.895012664615248,0.0,5.530324199553624,3.3546215972384608,0.0,31.901150690657545,0.0,60.940564376286495,36.96574125276273
offgrid1,8,1010.1849495046729,1.5982311946376573,0.0,2.8747108081966752,0.0,2.8852493233083063,1.8221651088886994,0.0,29.03989592618696,0.0,29.14635441974593,18.407237685119075
offgrid1,9,847.7117545605299,1.1254707847542524,0.0,3.1935392430111946,0.0,3.787926603210036,3.127998526111082,0.0,27.072007549509262,0.0,32.11069906953688,26.51641118832377
offgrid1,10,768.7323674439033,0.9255249915738251,0.0,3.9720926773596474,0.0,2.932497036176565,2.895633279594932,0.0,30.534762075732743,0.0,22.543053891422403,22.259670262723663
offgrid1,11,654.1164611448327,0.6701128908978883,0.8272594171902201,3.348738675214016,0.7747494632772557,3.9691158394096133,3.232447154655393,5.411240024212035,21.904650915298273,5.06776377192777,25.962640067485182,21.14396893640869
offgrid1,12,591.9310442554372,0.5487569712464085,0.9758842930594588,3.795543219248824,0.9726531164126448,3.7864380085187843,3.3456734882102745,5.776562086631645,22.466998612866,5.757435748964422,22.41310204391002,19.80408001614039
offgrid1,13,520.1345278455267,0.42371045872398794,1.172031506706539,4.061157642298514,1.1719199300473553,4.0255634444241135,4.333808197727735,6.096140543608869,21.123483127831896,6.095560194879438,20.93834541477748,22.541632806981884
offgrid1,14,472.8124400087458,0.3501189398064684,1.3795967315172173,5.151502515096361,0.807274026885489,4.906086595768317,3.449996434175173,6.522904968567461,24.35694473873901,3.8168920240741393,23.19658774239419,16.31201232063836
offgrid1,15,432.0872657408538,0.29240227676494845,1.1478903096623543,5.704506833574548,1.1542441372710208,4.612622071625346,4.956117956368307,4.959887852724287,24.648447601192423,4.987341932708461,19.930552588245085,21.4147545645633
offgrid1,16,392.91200183368824,0.24178447165919054,1.304874489451369,7.148383431176582,1.306351640952716,5.246809602925926,4.1209070564888926,5.127008477920493,28.0868564381836,5.132812383454552,20.615344643258446,16.191538409356223
offgrid1,17,375.2961459004092,0.22059010347989402,1.342823145983604,6.491160094433654,1.3146767903026755,5.277297565162178,5.392970146588064,5.039563513135092,24.361073658634865,4.933931325053146,19.80549436974979,20.239609109704656
offgrid1,18,339.54509376952495,0.180564651745208,1.3428601019655404,6.911914522576601,1.4158773115683694,5.436978516896843,4.8604708878490825,4.559615592412433,23.469066646952133,4.807541945226249,18.460993803426312,16.50349043378763
offgrid1,19,329.6024215247828,0.170144769560435,1.6353094181887518,6.539097452224358,1.6023401074889663,5.569636147336742,5.284758972438944,5.390019441772963,21.55302354839686,5.281351795346441,18.35765561174152,17.418693544906986
offgrid1,20,298.8446216648999,0.13987132981396722,1.7208979103404407,6.792494296790548,1.2908849711809967,5.573736837510446,5.072950640938549,5.142810849396057,20.299003882853615,3.857740308254901,16.656812764655246,15.160240150159922
offgrid1,21,288.13720231816956,0.1300278811490786,1.498508040835154,7.857237577011054,1.1993908866137948,5.964298595184202,4.7429652420912145,4.317759145375227,22.639624533891585,3.4558913455480775,17.185363110065648,13.666247355484822
offgrid1,22,264.79838669567454,0.1098167243083988,1.6666910711201175,11.433545524789821,1.0648797138119002,5.09470918683106,5.422182262077587,4.413371067526929,30.27584409175894,2.8197843024234275,13.490707733564966,14.35785115368048
offgrid1,23,253.04597527775357,0.10028516281294063,1.8495856960448605,7.504383523910202,1.3164080918149743,6.2564969160865385,5.494954948902739,4.680302163154543,18.989540476661624,3.331117694568467,15.831813639533758,13.90476234152412
offgrid1,24,237.15536931999375,0.08808536109504421,1.6069409035776032,7.8125219327937145,1.2143923594158779,3.901215648628193,5.137990655980755,3.8109466346335097,18.527815242922447,2.8799966849665113,9.251942379473581,12.18502071581793
offgrid1,25,221.25604179346314,0.07667046424694107,1.836163972691989,9.42520791904159,2.229423466452301,5.570731139677852,5.725062196435942,4.0626237268159,20.853841972475458,4.932734116686978,12.325579218607093,12.667046006048064
offgrid1,26,211.12138949877,0.06980753240352856,1.8409391215874529,9.44728345809236,1.7481601278583654,6.29508886104468,4.684619379244835,3.8866162533218813,19.945236106612036,3.690739952598055,13.290279073619823,9.890233526190348
offgrid1,27,195.8074712162924,0.06004769385739618,1.683243109686744,9.619523382663793,1.0319341302444325,5.332577593995013,6.327718851186552,3.2959157675000967,18.835745478653923,2.0206041250494646,10.441585337448243,12.390146268185017
offgrid1,28,187.950975423272,0.05532570839865539,1.9716778085817068,12.636422971771124,1.5582964213557529,7.569291221662054,4.059414567605871,3.705787673433512,23.750280234054244,2.9288333239240782,14.226556683741933,7.629709276289636
offgrid1,29,173.53088092900936,0.047161907100634504,1.485189369038909,13.434204196825258,2.195619889019352,5.60180654163958,5.884876798501889,2.5772621955572146,23.312492888552814,3.8100785352678193,9.720864239646037,10.212078550027211
offgrid1,30,155.95110319160213,0.03809032849549245,3.01314776078699,17.240536426344782,2.2699343765477598,11.71839855939984,6.438950485660955,4.699037173740368,26.886806753034705,3.5399877019516475,18.274971829772863,10.041614316349282
offgrid1,31,148.20551489449915,0.034400641757195385,2.8298470396968023,10.825887531048727,3.512721766055694,7.70917989043693,5.4736882283382045,4.193989375909387,16.044562357290147,5.206047380193985,11.425429750765238,8.112307822528223
offgrid1,32,156.911351338254,0.03856084486930079,2.4858748258354235,14.583928282908653,1.7671551630543056,6.830824079729819,6.1334281211787545,3.9006197817958315,22.883838946913794,2.772867046592237,10.718338371042913,9.624044948302068
offgrid1,33,147.48666843578505,0.03406774175567225,2.0075719680328428,11.506411375520418,2.4324329742657294,5.898184374041958,7.362401521672607,2.9609010121023633,16.970422794271254,3.5875143556780014,8.699035631474546,10.858560721180469
offgrid1,34,132.27491236258265,0.02740266367465347,2.060589972499191,18.82781012861688,2.7846952940728382,8.340208529209743,8.165347048439687,2.7256435802754706,24.904469347421436,3.68345325979981,11.032003522868832,10.800705652424323
offgrid1,35,125.08192306437576,0.024503431889539937,2.4300335643742446,16.88859184038707,2.3840126887181525,13.66230108247485,6.982675891330959,3.0395327134291006,21.124575452449395,2.9819689171473955,17.08906892880457,8.734065286229304
offgrid1,36,114.22358657494554,0.020433812356706306,3.587376947720338,20.939855525724976,2.3615154903136664,7.290312943107517,6.312599539622862,4.097630613648979,23.918254005094987,2.6974076905591806,8.327256916154875,7.210477600270734
offgrid1,37,99.35669562234067,0.015460804705263889,3.961310796305759,19.242145286694637,3.6120458897187597,13.52653038273442,11.156940624009556,3.9358275105404323,19.118359723709762,3.5888094403871347,13.43951362063687,11.08516753656245
offgrid1,38,125.3722731418938,0.02461732254024259,2.9847358349232884,19.27139424995398,3.1030385736722215,11.00053455287546,6.75368674894816,3.7420311635240098,24.160985037303515,3.8903499962826626,13.791620226699427,8.467250598039174
offgrid1,39,115.81070497874823,0.02100560652924747,2.9221193557623075,15.608151635217544,3.9410142211498536,10.929524749093014,8.978772454197076,3.3841270262287844,18.075910442897456,4.564116352826369,12.657559662751384,10.39837967764329
offgrid1,40,105.72742546276604,0.017507056342776363,3.137216302188616,20.83065251315771,2.933460010149046,14.820034385711423,8.54065628765935,3.3168980275022135,22.02371260925662,3.1014717457103815,15.668840808709342,9.02981601056608
offgrid1,41,110.51532182060149,0.019128583051874246,2.712949489765481,20.424336881957554,3.0117594884394574,9.775597903667611,8.236111093171395,2.998224859444687,22.572021634819194,3.3284556911113676,10.803533483126232,9.102164680120627
offgrid1,42,109.15488732692785,0.018660539125519564,2.6144839879169406,15.602293899018404,2.6931712696274346,10.266266343349553,8.908529923292882,2.8538370511913063,17.030666325889676,2.939728064883018,11.206131459765519,9.724095800255997
offgrid1,43,98.48102614831168,0.015189481381815024,3.681769992065437,20.188844041997278,5.962001250276676,11.677768924482628,9.500790599826132,3.625844868606656,19.882180780041203,5.871440010247643,11.500386668059152,9.356476074911113
offgrid1,44,99.92979391490356,0.01563967770371595,3.579338374682687,23.85812526190278,3.2780708842228106,9.847679695872795,9.246904518016304,3.5768254613374677,23.841375406178997,3.275769478988311,9.840766025485486,9.240412628361598
offgrid1,45,97.43385143058832,0.014868171279070546,4.708857248733013,21.979227638380227,2.7943422225935897,9.135139002814073,8.111815960491501,4.5880209758090125,21.415208002770196,2.722635249624038,8.900717763979591,7.90365471126804
offgrid1,46,93.0261705491609,0.013553395213678978,3.1620156307818204,20.076378217882827,2.2166822114373974,10.340333370697916,8.11902890875847,2.9415020534822216,18.676285841062267,2.062094574544665,9.619216156777242,7.552821679597329
offgrid1,47,85.62280625352705,0.011481978534891071,5.224468510498867,24.169825510042713,4.145264666485278,14.804023355187729,13.018600699390952,4.473336550520975,20.69488286827943,3.5492919340806037,12.675620235139283,11.146891253759831
offgrid1,48,89.51858474473657,0.012550592549698918,3.5144673659552006,24.46408385638922,2.9909134691646404,10.769522696609384,8.486086314607432,3.1461014473187174,21.8999016390052,2.6774234085358892,9.64072430176791,7.596624369053346
offgrid1,49,86.58247541878664,0.011740803297217535,3.5680504747320607,34.20267892585899,3.3298051101339032,10.88546010671091,13.311517397474073,3.0893064252147866,29.613526073548382,2.8830276909751884,9.4249008211148,11.525441278535498
offgrid1,50,77.46498284176063,0.009398286359487088,4.625977360957958,27.715025716304208,6.101454618400456,13.351418115012583,9.729060318378083,3.5835125689298137,21.4694399157246,4.726490773241724,10.342673751926217,7.5366149062961245
offgrid1,51,82.50208851447485,0.010660257639623966,3.360623377367796,29.37307353820267,3.2719824910049753,13.010240188348579,9.24570518126522,2.7725844734341134,24.23339912990976,2.699453890907044,10.733719876137124,7.62789987243482
offgrid1,52,77.19900609357914,0.00933385894629833,5.183329980141329,24.484857751996422,4.364726949470377,11.744092366683027,10.279320160976125,4.001479227219619,18.902066827967904,3.3695258236897274,9.066322581791193,7.935532997450468
offgrid1,53,76.38729831169347,0.009138609407980452,4.529386477155229,26.126033798947947,4.586731600425872,14.062527184656155,12.016270371878468,3.4598759599940685,19.95697137501623,3.5036803503740233,10.741984590706286,9.178904294906443
offgrid1,54,75.08364939304658,0.008829346520149826,3.4445854688316615,34.416303248002684,3.225219232038917,11.105277392312047,9.14942399190394,2.586320476461395,25.84101646477804,2.42161230034121,8.338247541368844,6.869721431564442
offgrid1,55,75.35142192116018,0.00889243541657983,4.674766588743026,28.88980305936492,5.536474795229181,11.299472638835105,10.33124875011328,3.522503096113185,21.7688773954543,4.17181248251183,8.514313302954692,7.784742835422446
offgrid1,56,68.18495051275104,0.00728139975403602,5.051794048380124,35.402564092495,5.366131512266582,13.30973850232552,10.975768601146624,3.4445632718940904,24.139220806712682,3.658894116088108,9.075238611187228,7.483822389085893
offgrid1,57,73.50726501551877,0.008462493420395272,3.3671997829615314,32.059109509440965,4.13724101202038,12.301638221826751,11.291506357403907,2.4751364680635057,23.565774588720153,3.0411727150365513,9.04259780896854,8.30007750238104
