mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.875,0.0225,ANN (n_s=141),151,10,141,150,140,8.992851969214076,18.770828047450895,47.908658832103676
4.875,0.0225,ANN (n_s=141),151,10,141,151,141,6.902042695176607,19.681207046022234,35.06920423649309
4.875,0.0225,GPR (n_s=141),151,10,141,11,1,0.00018692049829395022,682.2921807681937,2.739596078669642e-05
4.875,0.0225,GPR (n_s=141),151,10,141,12,2,0.00018322347834099902,627.6924007351741,2.9190010604939876e-05
4.875,0.0225,GPR (n_s=141),151,10,141,13,3,0.00018297981370766806,545.0125734789101,3.357350318354603e-05
4.875,0.0225,GPR (n_s=141),151,10,141,14,4,0.00018097798606321665,509.9257646852055,3.549104567699977e-05
4.875,0.0225,GPR (n_s=141),151,10,141,15,5,0.0001757847101381564,453.66654999380637,3.8747558121831175e-05
4.875,0.0225,GPR (n_s=141),151,10,141,16,6,0.00017416685999763245,430.4061515337876,4.04656995205516e-05
4.875,0.0225,GPR (n_s=141),151,10,141,17,7,0.00017103633258302618,390.2049350584137,4.383243706474959e-05
4.875,0.0225,GPR (n_s=141),151,10,141,18,8,0.0001693743068588317,370.8127263143857,4.567650860915471e-05
4.875,0.0225,GPR (n_s=141),151,10,141,19,9,0.00016649614327297167,339.1857447400118,4.908701083549136e-05
4.875,0.0225,GPR (n_s=141),151,10,141,20,10,0.00016661180720631163,321.28136994909954,5.185853360644841e-05
4.875,0.0225,GPR (n_s=141),151,10,141,21,11,0.00016179112574437625,296.2115263539851,5.46201316794908e-05
4.875,0.0225,GPR (n_s=141),151,10,141,22,12,0.00016267742931542147,280.92691073389426,5.790738555108248e-05
4.875,0.0225,GPR (n_s=141),151,10,141,23,13,0.0001571867697749119,261.2336485120674,6.017095066819114e-05
4.875,0.0225,GPR (n_s=141),151,10,141,24,14,0.00016093244526033164,248.4413629559965,6.477683238633484e-05
