method,point,repetitions,mean_seconds,std_seconds,min_seconds,max_seconds,mean_state_error_percent,state_error_range
case2_known_initial,0,1,116.66083093453199,,116.66083093453199,116.66083093453199,1.161789814593225,0.0
case2_known_initial,1,1,84.49597811885178,,84.49597811885178,84.49597811885178,1.9465738583186922,0.0
case2_known_initial,2,1,83.89701628684998,,83.89701628684998,83.89701628684998,1.7433209253039528,0.0
case2_known_initial,3,1,88.19035536050797,,88.19035536050797,88.19035536050797,2.6428313903488245,0.0
adaptive3_known_initial,0,1,199.80401001963764,,199.80401001963764,199.80401001963764,0.41154475272718916,0.0
adaptive3_known_initial,1,1,162.63287408743054,,162.63287408743054,162.63287408743054,0.4456622413517306,0.0
adaptive3_known_initial,2,1,161.93319833558053,,161.93319833558053,161.93319833558053,0.483145004465455,0.0
adaptive3_known_initial,3,1,165.2910852720961,,165.2910852720961,165.2910852720961,0.8502504776064158,0.0
case1_known_initial,0,1,463.80626747198403,,463.80626747198403,463.80626747198403,0.41770511275805766,0.0
case1_known_initial,1,1,429.9524221466854,,429.9524221466854,429.9524221466854,0.5425289675868101,0.0
case1_known_initial,2,1,497.2556766225025,,497.2556766225025,497.2556766225025,0.7364637194965488,0.0
case1_known_initial,3,1,432.9013651339337,,432.9013651339337,432.9013651339337,1.6728633014102157,0.0
case3_known_initial,0,1,539.5764326266944,,539.5764326266944,539.5764326266944,0.40757704982455034,0.0
case3_known_initial,1,1,459.108820727095,,459.108820727095,459.108820727095,0.5117553331367721,0.0
case3_known_initial,2,1,436.2849954534322,,436.2849954534322,436.2849954534322,0.5627653947538305,0.0
case3_known_initial,3,1,438.56189654394984,,438.56189654394984,438.56189654394984,1.5207566998998794,0.0
