basis,basis_path,mu1,mu2,step,time,coordinate_sigma_max,coordinate_fro,mass_state_gain,hll_rank,hll_condition,hll_min_kept_eigenvalue,hll_max_eigenvalue,cancellation_relative_residual,coordinate_sigma_1,coordinate_sigma_2,coordinate_sigma_3,coordinate_sigma_4,coordinate_sigma_5,coordinate_sigma_6,coordinate_sigma_7,coordinate_sigma_8,coordinate_sigma_9,coordinate_sigma_10
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,416,20.8,0.0275725955893727,0.031237444870388632,0.027572595589372695,10,1.013496404837485,0.9948303796584561,1.0082570132069555,0.9999968889809855,0.0275725955893727,0.011009034257922394,0.00646852986863879,0.0056073555535576525,0.0035179380689858908,0.002218797510144963,0.0013929038968855823,0.0010340510690599954,0.0006486370220911759,0.0005636139847654588
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,416,20.8,0.010240332028787918,0.011941950686415603,0.010401127923461387,10,1.0082817919448497,0.9948526380349226,1.0030918005989127,0.9999995053540103,0.010240332028787918,0.004027140732580085,0.0027240618665855462,0.0023712922463019676,0.0019026244063356124,0.0016640428202403048,0.0009985168315753158,0.0008679477867235051,0.0004744698196471009,0.00034622927988370723
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,417,20.85,0.027573390762592093,0.03123265731122775,0.027573390762592086,10,1.0134779674422985,0.9948437476684064,1.0082522193096555,0.999996890299243,0.027573390762592093,0.011014058791669269,0.006477998961460219,0.005564594576094161,0.0035137449144250223,0.002207574599875582,0.0013881751423220087,0.001031797255527028,0.0006474828594341517,0.0005636234323264178
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,417,20.85,0.010250631684320883,0.01194134480885068,0.010411305494775666,10,1.0082660623813147,0.9948596681690798,1.0030832402468195,0.9999995054667561,0.010250631684320883,0.004001791902363346,0.0027241461751857728,0.002367620098136913,0.0019037157318106221,0.0016608370050321072,0.0009974937114259098,0.0008699652864140607,0.00047475522732961346,0.0003458196046440811
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,418,20.900000000000002,0.027574978929481,0.03122854736174825,0.027574978929480985,10,1.0134581683708834,0.994858017085221,1.0082469837842771,0.9999968914794106,0.027574978929481,0.011019862059654086,0.006485682530931211,0.005522128869314454,0.0035093938979090357,0.0021958178695190415,0.0013835967735493367,0.0010295482872449168,0.0006463637349729442,0.0005637419412043307
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,418,20.900000000000002,0.01025198720911234,0.011933086190422375,0.010411555703291529,10,1.0082484677749617,0.9948681178728472,1.0030742554834582,0.9999995062108052,0.01025198720911234,0.003976412188651698,0.0027240833770025724,0.002363743546435643,0.0019051760438400446,0.0016575268032995216,0.0009970251399708753,0.0008715071635538556,0.0004749770577953939,0.00034533848184150213
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,419,20.950000000000003,0.027577294204602365,0.03122559662308654,0.027577294204602355,10,1.0134370262669992,0.9948732421165642,1.008241380003219,0.9999968924265767,0.027577294204602365,0.011027942408066647,0.006491778781120756,0.005479840838660335,0.0035047577094499023,0.0021836231314162893,0.0013791577669622144,0.0010272891151583985,0.0006452795018163032,0.000563956040006714
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,419,20.950000000000003,0.010249172250229515,0.011921291735025614,0.010407159454669673,10,1.0082289334651833,0.9948780916443747,1.0030648772664847,0.9999995072449458,0.010249172250229515,0.003951095233334157,0.002723956018410371,0.0023596701790818387,0.0019068762784804083,0.0016541790196082772,0.000997044314595861,0.0008725545557293038,0.0004751035711393253,0.0003447809999295423
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,420,21.0,0.02758011586931349,0.03122390594584541,0.02758011586931348,10,1.0134145765690694,0.9948894630914094,1.0082354839718095,0.9999968931214335,0.02758011586931349,0.011039001600969552,0.0064967096015298475,0.005437572984552872,0.0034996962034193157,0.0021710445559542063,0.001374842672909337,0.0010250028525201835,0.0006442289634650526,0.0005642313662182294
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,420,21.0,0.010249480955789628,0.01191206997738085,0.010406192426246155,10,1.0082074019709253,0.9948896790960535,1.0030551386091198,0.9999995080647559,0.010249480955789628,0.003925306592458827,0.0027238059970841047,0.0023554443343662226,0.001908773432542349,0.001650852040120374,0.0009974579281754451,0.0008731815138169496,0.0004751285456506245,0.0003441488507624062
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,421,21.05,0.02758310371067208,0.031223097799165003,0.02758310371067206,10,1.0133908683426474,0.9949067088108043,1.0082293735617065,0.9999968936393672,0.02758310371067208,0.011052589631861186,0.00650100408178534,0.005395237544757235,0.003494079375600887,0.002158091457911548,0.0013706346363357188,0.0010226714559971586,0.0006432108325754173,0.0005645177095274186
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,421,21.05,0.01025750602934199,0.011909167241562638,0.010413730163655308,10,1.008183832422713,0.9949029555763151,1.0030450746416135,0.9999995083621341,0.01025750602934199,0.003898290590770633,0.002723605239353397,0.0023511386705854873,0.0019109867055178756,0.0016475593128023793,0.000998170903372722,0.0008734897385320164,0.00047506682816139635,0.000343433432453648
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,422,21.1,0.02758586486048979,0.031222455187952997,0.027585864860489768,10,1.013365956068484,0.994925004095839,1.0082231279920202,0.9999968941228496,0.02758586486048979,0.011067386311879436,0.006505158073741985,0.005352861075235198,0.003487810626392227,0.0021447518690633554,0.0013665160404580507,0.001020278818430657,0.0006422240800658675,0.0005647606222139336
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,422,21.1,0.010271939124903534,0.011911371477248434,0.010428312093722542,10,1.0081581971094795,0.9949179860688533,1.0030347231069694,0.9999995082375356,0.010271939124903534,0.003869607283362927,0.002723271699415934,0.0023468279498305984,0.0019137688431536477,0.001644265687288565,0.0009991091622416977,0.0008735409650444106,0.0004749441857986301,0.0003426085669567402
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,423,21.150000000000002,0.027588033500579805,0.03122120358114614,0.027588033500579784,10,1.0133399056769816,0.9949443634563193,1.0082168274186711,0.9999968947256259,0.027588033500579805,0.011081861013401638,0.006509523433363452,0.005310580779170468,0.0034808432676041562,0.0021310225551943143,0.00136246820842072,0.0010178156334434336,0.0006412678609626684,0.0005649193108669818
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,423,21.150000000000002,0.010286709512532431,0.01191354989982526,0.01044322192178595,10,1.0081304934232684,0.9949348138820792,1.0030241248429281,0.9999995081139841,0.010286709512532431,0.0038394228805436526,0.0027227170994292764,0.0023425660864980834,0.0019173792126552108,0.0016409186965548443,0.0010002355424567175,0.0008733433226156804,0.0004747926989476761,0.0003416449491401246
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,424,21.200000000000003,0.02758934051813857,0.031218715990564132,0.02758934051813856,10,1.0133127985299826,0.994964786632005,1.008210552380864,0.999996895572095,0.02758934051813857,0.011094717060380673,0.00651425681936106,0.005268626867114728,0.003473176016674364,0.0021169246850172093,0.0013584715525116176,0.0010152817623875023,0.0006403411328447388,0.0005649776128792852
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,424,21.200000000000003,0.010295440100353421,0.011910418046701638,0.01045143367441071,10,1.008100752329906,0.9949534522993706,1.0030133237962326,0.9999995084269219,0.010295440100353421,0.0038083874633172933,0.002721892027818522,0.0023383737021990384,0.001921929861704003,0.0016374911189464662,0.0010015533106453346,0.0008728810372479568,0.0004746429402210271,0.00034052975838968943
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,425,21.25,0.02758965595207122,0.03121452488640129,0.027589655952071204,10,1.0132847232339572,0.9949862661139395,1.0082043832808516,0.9999968967548081,0.02758965595207122,0.011104837278400339,0.0065193261798815235,0.005227296283113617,0.0034648279223404837,0.002102498442719597,0.0013545067394503223,0.0010126845216861583,0.0006394424547525463,0.0005649422497271906
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,425,21.25,0.010295873131098065,0.011900230408605415,0.01045049776081402,10,1.0080690316101555,0.994973891021859,1.0030023667997938,0.9999995093194999,0.010295873131098065,0.0037772301521289127,0.002720802731236989,0.002334236299382019,0.001927302359633032,0.0016340031649923926,0.0010030948931348668,0.0008721554792091473,0.0004745122458591457,0.0003392769897126676
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,426,21.3,0.0275889993289618,0.03120826501699869,0.02758899932896179,10,1.0132557749326863,0.9950087874717648,1.0081984000145356,0.999996898345651,0.0275889993289618,0.011111095446786005,0.006524550846783729,0.005186924139137839,0.0034558210173044794,0.0020877853999436776,0.001350557379401796,0.0010100345366510193,0.0006385704618018673,0.0005648358858217278
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,426,21.3,0.010291259263485973,0.011885888398648634,0.010444041868002046,10,1.008035412856291,0.9949960986795999,1.0029913031228894,0.999999510551521,0.010291259263485973,0.00374636921853392,0.0027194968685534853,0.0023301203362090937,0.0019331939302917993,0.0016305099649380874,0.0010049076845623853,0.0008712198752269369,0.00047440219349815317,0.0003379304535258805
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,427,21.35,0.02758752407354958,0.031199703163858235,0.02758752407354956,10,1.0132260618653441,0.995032322519406,1.0081926815750648,0.9999969003899639,0.02758752407354958,0.01111245872222676,0.006529650593046127,0.005147862146131987,0.003446187409458174,0.0020728142466939995,0.0013466131636204646,0.0010073402076194913,0.000637724594124718,0.0005646875963470773
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,427,21.35,0.010287859054547516,0.011872777004571025,0.010438976845238304,10,1.008000001689323,0.9950200217527206,1.0029801836076526,0.999999511679595,0.010287859054547516,0.0037157872499435423,0.002718032533124402,0.002326004004363566,0.001939273721205284,0.0016270663766087068,0.0010070454976858958,0.0008701843946853258,0.0004743031490213469,0.00033655156480307474
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,428,21.400000000000002,0.02758548544159661,0.031188870176434857,0.027585485441596592,10,1.0131957010225836,0.9950568331333963,1.0081873056039035,0.999996902880613,0.02758548544159661,0.011108413018714989,0.0065342957651064295,0.005110450760270953,0.003435986435126391,0.002057600385005961,0.0013426710521035642,0.0010046029841104536,0.0006369053609137254,0.0005645216073989086
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,428,21.400000000000002,0.010290286268242837,0.011864817131273358,0.010440354871202713,10,1.0079629145897584,0.9950455967845642,1.0029690598846748,0.9999995123824771,0.010290286268242837,0.0036852132964338494,0.0027164514719788552,0.002321903483585896,0.0019453681644324152,0.0016236980539667519,0.0010095608422012628,0.0008691802868117409,0.0004741968869336019,0.00033518626306135803
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,429,21.450000000000003,0.027583198226692727,0.03117622997738571,0.027583198226692716,10,1.0131648130600075,0.9950822758396086,1.008182347980364,0.9999969057249347,0.027583198226692727,0.011099518838302546,0.006538164291136799,0.005074978806835419,0.0034253140930604635,0.002042158675855756,0.0013387341472700862,0.001001817064325722,0.0006361140094557123,0.0005643529802365247
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,429,21.450000000000003,0.010298049079363561,0.011861576689864574,0.010447593612062711,10,1.0079242664599013,0.9950727625768375,1.0029579842944865,0.9999995126966367,0.010298049079363561,0.003654447765815802,0.0027147737537880586,0.002317881027827671,0.0019515672753527538,0.0016204057602649854,0.001012498823269297,0.0008683110027974362,0.00047406300978145195,0.00033383529170879903
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,430,21.5,0.027580986260333677,0.031162736982119806,0.027580986260333663,10,1.0131335272180886,0.9951085966083322,1.0081778824468417,0.9999969087338044,0.027580986260333677,0.011087673193568544,0.006541010335095303,0.005041653466945485,0.003414287927329436,0.0020265192884502082,0.001334809793726183,0.000998973163601712,0.0006353517535715955,0.0005641910112172679
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,430,21.5,0.010305777643570713,0.011858517470219754,0.010454787607842535,10,1.0078841725783485,0.9951014588693098,1.0029470105040017,0.9999995129947091,0.010305777643570713,0.0036235991106308403,0.0027130157889578787,0.00231403126425858,0.0019581765063257524,0.00161720577238474,0.0010158951964070666,0.000867622944082772,0.00047388985988598947,0.0003324513685857239
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,431,21.55,0.027579126177812125,0.03114960161077849,0.02757912617781211,10,1.0131019807719865,0.9951357309737188,1.008173980186453,0.9999969116681678,0.027579126177812125,0.011075570472363992,0.0065427389415923356,0.005010592599320198,0.0034029919424047607,0.002010735194983587,0.0013309074047303724,0.0009960625644008989,0.0006346188455125073,0.0005640399102685143
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,431,21.55,0.010306778095007298,0.01185004103796634,0.010454664278771862,10,1.0078427502776917,0.9951316259745152,1.0029361948104667,0.9999995137355113,0.010306778095007298,0.0035930931196745766,0.0027112164719839543,0.002310448057871129,0.001965539651443694,0.0016141780233008953,0.0010197677858284262,0.000867103260006796,0.0004736775506938364,0.00033095787370841204
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,432,21.6,0.027577793135320598,0.031137792171201627,0.02757779313532058,10,1.0130703122684674,0.9951636102174155,1.0081707093611725,0.9999969143371897,0.027577793135320598,0.011065426625062706,0.006543464682973929,0.004981830381057257,0.003391401932549498,0.00199487624498902,0.001327036216911261,0.0009930799310330946,0.0006339140701849909,0.0005638957927625334
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,432,21.6,0.010297310716855256,0.011833120146544552,0.010443274417842662,10,1.0078001199462667,0.9951632059098806,1.002925598282089,0.999999515165674,0.010297310716855256,0.0035634862584469794,0.002709451595146908,0.0023071887409114333,0.0019738441843088106,0.0016114808806073088,0.0010240977200832366,0.0008667013694524714,0.00047343346409518605,0.0003292781723940786
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,433,21.650000000000002,0.02757702146574762,0.031127558064655742,0.0275770214657476,10,1.0130386636625066,0.9951921588045002,1.0081681346427158,0.9999969166918566,0.02757702146574762,0.01105773387394618,0.00654351760832012,0.004955335503670637,0.003379348995535327,0.001979013344028448,0.0013232039630820007,0.0009900246224423842,0.000633234953733266,0.0005637460756429522
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,433,21.650000000000002,0.010278831531180317,0.011809169670209785,0.010422378620647705,10,1.007756419231781,0.9951961308862621,1.0029152892952624,0.9999995171666072,0.010278831531180317,0.0035352350948964087,0.0027078250669132125,0.0023042554646689932,0.0019830138237520024,0.0016093074468382827,0.001028813467193741,0.0008663626843937838,0.0004731687783103754,0.00032736708779384734
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,434,21.700000000000003,0.027576693884920955,0.031118259787276732,0.02757669388492095,10,1.0130071824487397,0.9952212918075144,1.008166316726925,0.9999969188581004,0.027576693884920955,0.011050822812516514,0.006543372774220893,0.004931039411192162,0.0033665602712565456,0.0019632020806329828,0.0013194161487553046,0.0009868991665945444,0.0006325783749630686,0.0005635689722913353
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,434,21.700000000000003,0.010256865368389207,0.011783019222004662,0.010398120344201366,10,1.00771181766247,0.9952303111435032,1.0029053458352053,0.9999995193414838,0.010256865368389207,0.003508555126012185,0.0027064376495403103,0.002301597420043559,0.0019927332512109505,0.0016077932677409767,0.0010337834889262963,0.0008660527106774031,0.00047289230488045626,0.00032522693594505016
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,435,21.75,0.027576566515702935,0.031108626146737046,0.02757656651570292,10,1.0129760144899964,0.9952509214296077,1.0081653118072607,0.9999969210860261,0.027576566515702935,0.011041554697795318,0.00654352308605202,0.004908856493779966,0.003352770890269349,0.001947474877230125,0.0013156749647230586,0.0009837061413085018,0.0006319412407706474,0.0005633331045858943
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,435,21.75,0.010237315019738217,0.011759700484271489,0.01037693424757623,10,1.0076665191802907,0.99526563435567,1.002895857430942,0.9999995212802832,0.010237315019738217,0.0034834064664516096,0.0027053468024905896,0.002299136851122882,0.002002590191253805,0.0016069243036630702,0.0010388207170416647,0.0008657626174689556,0.0004726016627359923,0.00032290177852059
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,436,21.8,0.027576325555568704,0.03109736509162724,0.0275763255555687,10,1.0129453029574684,0.9952809574618681,1.0081651709840111,0.9999969236298067,0.027576325555568704,0.011026926193353239,0.00654434941467118,0.004888690096533986,0.0033378664714911127,0.0019318447884139629,0.0013119788988778624,0.0009804470618758802,0.0006313210486962682,0.0005630052340191391
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,436,21.8,0.01022269051234719,0.011741222108214083,0.010361444725367774,10,1.007620767026599,0.995301962075276,1.0028869264493687,0.9999995228215636,0.01022269051234719,0.0034595811018024282,0.002704541928750267,0.0022968256606628397,0.002012258257070466,0.0016065102704005615,0.0010437115127570331,0.0008655043764214303,0.00047228338755260117,0.00032046378221370987
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,437,21.85,0.02757565969494813,0.031083805735919682,0.027575659694948115,10,1.0129151926917737,0.9953113024010686,1.0081659396598786,0.9999969266215988,0.02757565969494813,0.011005706593029836,0.006546038064425783,0.004870438298702063,0.003321983799045441,0.0019163166884230312,0.001308324212513607,0.0009771237280425255,0.0006307161753786741,0.0005625640517175525
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,437,21.85,0.010210654115102087,0.011725390581930856,0.01034896710681844,10,1.0075748486419709,0.9953391247861495,1.0028786680038364,0.999999524145146,0.010210654115102087,0.003436835970558348,0.0027039558782183614,0.0022947106494105893,0.002021613189818488,0.0016062562371511788,0.0010482638440590015,0.0008652995387020527,0.0004719208194205643,0.00031799743601298167
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,438,21.900000000000002,0.02757432696297587,0.031068167894970865,0.02757432696297586,10,1.012885824371862,0.9953418565828873,1.0081676569367775,0.9999969300187382,0.02757432696297587,0.010979042955567118,0.006548563705925023,0.00485400583003488,0.003305502123268461,0.001900898790521547,0.0013047072701217449,0.0009737402254728375,0.0006301259264575516,0.0005620099562252285
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,438,21.900000000000002,0.010195637374215949,0.011707282818607324,0.010333383629556516,10,1.0075290836486601,0.995376931809734,1.002871207991276,0.9999995256504294,0.010195637374215949,0.0034149930877212073,0.0027035112359577833,0.0022929678372259218,0.002030718483574058,0.0016059030855265105,0.0010523501513826814,0.0008651654329507735,0.0004714999281109146,0.00031557994919429323
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,439,21.950000000000003,0.027572198750991313,0.031051316905816827,0.027572198750991303,10,1.012857329133064,0.9953725228463912,1.0081703549826355,0.9999969336520287,0.027572198750991313,0.01094968573001666,0.006551722891837224,0.0048393211671594214,0.0032889210578283235,0.001885609709695042,0.0013011267344220183,0.0009703050213099829,0.0006295504927966387,0.0005613694741585342
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,439,21.950000000000003,0.010172438947675545,0.011682396493439638,0.010309121702030074,10,1.0074838070045709,0.995415183604125,1.0028646787276376,0.9999995277001471,0.010172438947675545,0.0033939580338441275,0.0027031761712997767,0.0022918968089573485,0.002039696030559074,0.0016053653059643312,0.0010559368107931854,0.0008651106293833893,0.0004710157098551808,0.0003132694418461041
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,440,22.0,0.027569274701993232,0.03103418834841085,0.02756927470199322,10,1.0128298339484338,0.9954032005832399,1.0081740583584624,0.9999969373385993,0.027569274701993232,0.01092034784561248,0.00655518972383704,0.004826363428406892,0.003272682893142084,0.0018704795557995945,0.0012975851820294924,0.0009668317924563139,0.0006289907749275654,0.0005606942310567693
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,440,22.0,0.010139540219662834,0.01164951500789186,0.010274720832611802,10,1.0074393589963442,0.9954536738147918,1.0028592110585297,0.999999530388729,0.010139540219662834,0.0033736818430275444,0.0027029993955076503,0.002291883725493533,0.00204855909685566,0.0016047949117350962,0.0010590974081918388,0.0008651424013398927,0.00047047928471896243,0.000311107051738566
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,441,22.05,0.027565672626816324,0.031017205695603168,0.027565672626816307,10,1.0128034599977596,0.9954337867251003,1.0081787833938534,0.9999969409957977,0.027565672626816324,0.0108920743522809,0.00655857336366513,0.0048151915537956586,0.0032570181779283257,0.0018555460410985957,0.0012940885564711342,0.0009633369717149422,0.0006284480292308589,0.0005600491693681986
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,441,22.05,0.010099945332030518,0.011611388630856248,0.01023362649909493,10,1.0073960641042445,0.9954921983988112,1.0028549225134442,0.9999995334900892,0.010099945332030518,0.0033541213720779954,0.002703106583777271,0.0022933359520451633,0.0020571124534456116,0.001604533257735873,0.0010619927709881385,0.0008652759410230245,0.0004699151392734107,0.0003091198744422406
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,442,22.1,0.027561602200247167,0.03100003247935655,0.027561602200247157,10,1.0127783136277546,0.9954641840877297,1.0081845376371996,0.9999969446893395,0.027561602200247167,0.01086356476577404,0.0065614727310997255,0.004805950301827447,0.0032418957482406026,0.0018408484616476057,0.0012906429536178896,0.0009598353771922561,0.0006279234039233693,0.0005594941146115855
