basis,basis_path,mu1,mu2,step,time,coordinate_sigma_max,coordinate_fro,mass_state_gain,hll_rank,hll_condition,hll_min_kept_eigenvalue,hll_max_eigenvalue,cancellation_relative_residual,coordinate_sigma_1,coordinate_sigma_2,coordinate_sigma_3,coordinate_sigma_4,coordinate_sigma_5,coordinate_sigma_6,coordinate_sigma_7,coordinate_sigma_8,coordinate_sigma_9,coordinate_sigma_10
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,6,0.30000000000000004,0.010820221936032298,0.011858069309063742,0.011461714175364254,10,1.0077422227213868,0.9933181955501266,1.0010086862532817,0.9999994756115077,0.010820221936032298,0.004099825910016327,0.0019208037835995847,0.0010518784022262946,0.0007509379231666028,0.0006880595940081189,0.00060064109118128,0.0005196042406842082,0.0003948292868418302,0.00032880834920402316
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,7,0.35000000000000003,0.03150529623779412,0.03226911077381452,0.031505296237794106,10,1.00449339615122,0.9980636472080363,1.0025483425590733,0.9999964302640469,0.03150529623779412,0.003743790048092052,0.003646624973351447,0.003108871323731109,0.0023548321146553293,0.0019103768911888253,0.001209703441659057,0.0008385933300896066,0.0004627025453406113,0.000396751286663862
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,7,0.35000000000000003,0.011115224084183062,0.012130725421916419,0.011810961189872703,10,1.007953238330515,0.9931097222374188,1.0010081605467245,0.9999994515219472,0.011115224084183062,0.004110079745693785,0.0019239344365500803,0.0010470299371897922,0.0007434591410931821,0.0006873573101336989,0.0005996878507824404,0.0005157284250749836,0.0003948655676898444,0.00033019719748394235
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,8,0.4,0.03135049626253005,0.032151745604851956,0.03135049626253003,10,1.0047050015308077,0.9978745942909959,1.0025695957846892,0.9999964582211992,0.03135049626253005,0.003914394258093522,0.0036939687222306435,0.00318039472488159,0.002356449301592107,0.0019130220487123355,0.001219659888706055,0.0008480086347677432,0.00046970697779832025,0.0003981348941667398
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,8,0.4,0.011486446255207857,0.012470667438237831,0.012263943561580169,10,1.0081793053617543,0.9928865461674902,1.0010076684181717,0.9999994206724356,0.011486446255207857,0.004109742105008694,0.0019257393668307703,0.001041239448765962,0.0007361975852727562,0.0006853136047208405,0.0005988138593355618,0.000510542444614587,0.00039459719448093977,0.00033149165884325534
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,9,0.45,0.031058427559349934,0.03190209938948096,0.031058427559349927,10,1.0049523284285218,0.9976502117444104,1.002590903249753,0.9999965149646595,0.031058427559349934,0.00415188283063706,0.0036988098963400685,0.0032164237761924284,0.002357716300642254,0.0019156081218545701,0.0012283575389073203,0.0008553632328962889,0.00047431582878133534,0.00039931286033949564
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,9,0.45,0.011857985644171254,0.012811582195494596,0.012705821347833011,10,1.0084172159321567,0.992651876302713,1.0010072414910134,0.9999993889031951,0.011857985644171254,0.004105917345778703,0.0019266938054441425,0.0010363478029891116,0.0007313372740818371,0.0006826357490587378,0.0005979500877138519,0.0005055057926348507,0.00039423154200618504,0.00033278683662001015
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,10,0.5,0.030795652680975682,0.0316804358015558,0.030795652680975675,10,1.0052274213164465,0.9973987712518702,1.0026125948497098,0.9999965651222371,0.030795652680975682,0.004383397843952529,0.003699634732334209,0.0032361958300041955,0.002359055253202847,0.0019181867167530548,0.0012365982593597609,0.0008609266585809601,0.00047763997427581733,0.0004003241043091076
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,10,0.5,0.012210021475756531,0.01313634628316869,0.013099139331519525,10,1.008664483802567,0.9924081859265041,1.001006890578999,0.9999993578825128,0.012210021475756531,0.004102096077667987,0.0019273146247714144,0.0010333348673101691,0.0007291105177439923,0.0006802837763915337,0.0005970592813154166,0.0005017000974191246,0.0003939486714072119,0.0003341973956259424
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,11,0.55,0.030688785144225534,0.031610029755918055,0.030688785144225524,10,1.0055229592584802,0.997127641849688,1.0026347371911284,0.9999965822471748,0.030688785144225534,0.004603625316388502,0.003699822528772987,0.003249053476560273,0.002360800618148781,0.0019207741421468935,0.0012451387934727114,0.0008654161957657768,0.0004806200742843344,0.0004012255268896482
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,11,0.55,0.01255421652089356,0.013455709291405625,0.013458936543633438,10,1.0089193447005913,0.9921572213396442,1.0010066135939535,0.99999932665084,0.01255421652089356,0.0040987793504605186,0.0019279947349837648,0.0010322988048634709,0.0007290130748853658,0.0006787775082208279,0.0005961432500879391,0.0004994995471642709,0.0003938200085373876,0.00033583278063081785
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,12,0.6000000000000001,0.030802333812050286,0.03175417093608329,0.03080233381205027,10,1.0058329194959457,0.9968427843293448,1.0026572880404523,0.9999965528990552,0.030802333812050286,0.0048194442677598915,0.0036999874886266995,0.003258617041987247,0.00236304029675219,0.001923379796429458,0.001254226940514974,0.0008695000723873529,0.00048366008273113874,0.0004020896932807978
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,12,0.6000000000000001,0.012893050991794304,0.013771700587971994,0.013795443635244469,10,1.009180130655242,0.9919006263401606,1.0010064036869797,0.9999992950384964,0.012893050991794304,0.004095602450494004,0.0019292142884077695,0.00103288824688951,0.0007308880810701605,0.0006781304256597808,0.000595235595760691,0.0004987442065655695,0.0003938370617120685,0.0003377436655381329
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,13,0.65,0.031115594655567024,0.032092430797967135,0.031115594655567024,10,1.0061525330026566,0.9965488778930994,1.0026801777530971,0.9999964810004491,0.031115594655567024,0.005031881132325515,0.003700123019691459,0.0032661689337772828,0.0023656594854934727,0.0019260320488498272,0.0012637063730423146,0.0008735650110652003,0.00048669872796986585,0.0004029846472851074
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,13,0.65,0.013221823311238792,0.01407977362284925,0.014110023790556871,10,1.0094451321227877,0.9916400806872111,1.0010062522675538,0.999999263544401,0.013221823311238792,0.004092436728911359,0.0019317671040083478,0.0010347778700410238,0.0007348091155473072,0.0006781511128565002,0.0005943767397253579,0.0004990107248374287,0.00039398576884741934,0.00033990037661388507
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,14,0.7000000000000001,0.031536505488238324,0.03253469983487908,0.031536505488238324,10,1.0064781883638796,0.9962494265824464,1.0027033180252545,0.9999963853096665,0.031536505488238324,0.005237528614437614,0.0037001287860059795,0.0032722967769134824,0.0023685409477510024,0.0019287763561107597,0.0012734005751330985,0.000877726161608343,0.0004895293489169539,0.0004039480705198578
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,14,0.7000000000000001,0.013551482572578431,0.014389905724338835,0.014422905505394993,10,1.0097128218569524,0.991377080258413,1.0010061492320286,0.9999992311570265,0.013551482572578431,0.004088692639264311,0.001936357666296127,0.0010377119216642592,0.0007403620627591126,0.0006784614185358856,0.0005935862183261414,0.0004996576549978301,0.0003942278650090549,0.0003422111002753776
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,15,0.75,0.03194951954178561,0.032969112951323286,0.0319495195417856,10,1.006806829004348,0.9959473908158453,1.0027266344024552,0.9999962901175491,0.03194951954178561,0.005437978006832603,0.0037000173133165553,0.003277479896515006,0.0023716790342419095,0.0019316551406854325,0.0012832965104056934,0.0008819840317818204,0.000492024749439771,0.0004049880349799121
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,15,0.75,0.013903920432296192,0.014722168745850838,0.0147686325121389,10,1.0099815593662682,0.9911132296480396,1.0010060851884652,0.9999991956728744,0.013903920432296192,0.004082949241868054,0.0019428963747631864,0.0010413974593202707,0.0007463989554378217,0.000678585695221378,0.0005928535082036959,0.000500011830613203,0.00039448395311036054,0.0003445650040620278
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,16,0.8,0.032269308342117005,0.03331489833950975,0.032269308342117,10,1.0071359410702327,0.9956452014617581,1.0027500669462492,0.9999962138562526,0.032269308342117005,0.005644527140692549,0.0036998824274392865,0.003282127955844935,0.002375116071865766,0.0019346948893965528,0.0012934351171122157,0.0008863952299054249,0.0004941590444086869,0.00040610986072564114
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,16,0.8,0.014290302530417095,0.015086664799990107,0.015167318819002953,10,1.0102498215934923,0.9908500152534758,1.001006051135733,0.9999991558035493,0.014290302530417095,0.004073855635202392,0.0019503427121490792,0.001045551794287836,0.000751677642905613,0.0006781910437298303,0.0005921520984065704,0.0004996937226337924,0.00039467339019863654,0.0003468803985759089
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,17,0.8500000000000001,0.032463013969306405,0.03354262347181652,0.0324630139693064,10,1.0074634612337066,0.9953448440981502,1.0027735617562463,0.9999961638515414,0.032463013969306405,0.005869523546575447,0.003699766775418517,0.003286439306926844,0.0023788258488629155,0.001937913134191387,0.0013037466463963257,0.0008911179860618768,0.0004959430482755709,0.0004073369626858874
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,17,0.8500000000000001,0.014692507370064695,0.015466246823618569,0.015597513479702257,10,1.0105162722899337,0.9905887377221292,1.0010060386153568,0.9999991132603787,0.014692507370064695,0.004061372516576795,0.00195742861892813,0.0010500390261906373,0.0007557875584605424,0.0006772252541830476,0.0005914602006334865,0.0004987658502305938,0.00039475776915337454,0.0003491237596252387
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,18,0.9,0.03253998969536901,0.03366209478609234,0.032539989695369004,10,1.0077874318166073,0.9950482133372889,1.0027970834528899,0.9999961383638374,0.03253998969536901,0.006113964313447876,0.003699634877894653,0.0032904080211280285,0.002382739916607095,0.0019413401738176614,0.0013141177643907788,0.0008963469397641712,0.0004974110688662706,0.0004087064038863245
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,18,0.9,0.015072813321095073,0.015825493068216286,0.01600752901610854,10,1.0107794758577726,0.9903307938101301,1.0010060406932153,0.9999990720750289,0.015072813321095073,0.004047001380141981,0.001963700936601841,0.0010549601215684519,0.0007592902814589671,0.0006759107898489375,0.0005907689207411073,0.0004976095528143244,0.0003947610431930019,0.0003512982334969676
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,19,0.9500000000000001,0.03253424168597361,0.033704455028326204,0.0325342416859736,10,1.0081062120828517,0.994756895064479,1.0028206054267506,0.9999961304771726,0.03253424168597361,0.006364818206020161,0.003699479220571028,0.003293997157175032,0.0023868933737824275,0.0019450338424887945,0.001324598325465003,0.000902226578629463,0.0004986385259421757,0.00041024575040317146
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,19,0.9500000000000001,0.015408965411188162,0.016143639846202092,0.016362992871281564,10,1.0110381263329233,0.9900774511927007,1.0010060511783445,0.9999990348883873,0.015408965411188162,0.004032735552098015,0.0019698150263791334,0.0010605888497243361,0.0007630405760083858,0.0006746013253960401,0.0005900772759351075,0.000496652387555901,0.0003947546454600822,0.00035342973362923055
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,20,1.0,0.032490565795356675,0.033709553751384756,0.03249056579535667,10,1.008418353998627,0.9944722865780355,1.0028441063282734,0.9999961310959076,0.032490565795356675,0.006602453695878908,0.0036994188606461345,0.003297274067091517,0.002391515885600724,0.001949068614709818,0.0013354811776328974,0.0009087794021443489,0.0004997306101703495,0.0004119466866125079
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,20,1.0,0.015708967822511324,0.01642858119267435,0.01666958837854987,10,1.0112909372770302,0.9898299568239002,1.0010060647813244,0.9999990010229562,0.015708967822511324,0.00401998305581397,0.001977016716624019,0.001067228873559176,0.0007676074709812967,0.0006735801055188679,0.0005893858513872512,0.0004961489701171145,0.00039481834328003354,0.00035555762625111954
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,21,1.05,0.032459681060978,0.0337234371642506,0.03245968106097799,10,1.0087224204302876,0.9941957836141461,1.0028675772288478,0.9999961296580739,0.032459681060978,0.006813315707978904,0.0036996992563371484,0.0033004266827853647,0.0023969830393469117,0.001953503305003118,0.0013471876968379542,0.0009158905812452643,0.0005007908739398765,0.0004137549734425005
